

outfit "Asenil Shield Generator" #Wasen
	"mass" 21
	"outfit space" -21
	"weapon capacity" -21
	"turret mounts" -1
	weapon
		"fire effect" "particle impact"
		sound "energy1"
		"anti-missile" 30
		"turret turn" 14
		"velocity" 200
		"lifetime" 1
		"reload" 5
		"firing energy" 1
		"firing heat" 1
	description ""
	
outfit "Jestar Anti-missile"
	category "Turrets"
	cost 1200000
	thumbnail "outfit/heavy anti-missile"
	"mass" 80
	"outfit space" -80
	"weapon capacity" -80
	"turret mounts" -1
	weapon
		"fire effect" "particle impact"
		sound "energy2"
		"anti-missile" 125
		"turret turn" 18
		"velocity" 400
		"lifetime" 1
		"reload" 7.5
		"firing energy" 8
		"firing heat" 8
	description ""
	
outfit "Kemper Missile Defense"
	category "Turrets"
	cost 5000000
	thumbnail "outfit/kmd"
	"mass" 88
	"outfit space" -88
	"weapon capacity" -88
	"turret mounts" -1
	weapon
		sound "minelayer"
		"anti-missile" 100
		"turret turn" 20
		"velocity" 1100
		"lifetime" 1
		"reload" 1
		"firing energy" 12
		"firing heat" 12
	description ""
	
#=======================WEapons
	
outfit "E10-B Klingar"
	category "Guns"
	cost 1500000
	thumbnail "outfit/electron"
	"mass" 20
	"outfit space" -20
	"weapon capacity" -20
	"gun ports" -1
	weapon
		sprite "projectile/electron"
		sound "gw laser5"
		"hit effect" "electron impact"
		"fire effect" "electron impact"
		"inaccuracy" .1
		"velocity" 450
		"lifetime" 1
		"reload" 1
		"firing energy" 6.9
		"firing heat" 2.8
		"shield damage" 10
		"hull damage" 10
		"hit force" 5
	description ""
	
outfit "T30-E Semfal Torpedo"
	category "Guns"
	cost 5000000
	thumbnail "outfit/semfal torpedo"
	"mass" 40
	"outfit space" -40
	"weapon capacity" -40
	"gun ports" -1
	weapon
		sprite "projectile/ion bolt"
		sound "gw energylauncher"
		"hit effect" "ion spark"
		"inaccuracy" 1
		"velocity" 25
		"lifetime" 500
		"reload" 100
		"firing energy" 700
		"firing heat" 10
		"acceleration" 2.2 
		"drag" .07
		"optical tracking" .6
		"turn" 3
		"homing" 2
		"shield damage" 980
		"hull damage" 600
		"hit force" 12
		"missile strength" 34
		"ion damage" 1
	description ""
	
outfit "T70-E Sesmal Torpedo"
	category "Guns"
	cost 45000000
	thumbnail "outfit/semfal torpedo"
	"mass" 120
	"outfit space" -120
	"weapon capacity" -120
	"gun ports" -1
	weapon
		sprite "projectile/ion bolt"
		sound "gw energylauncher"
		"hit effect" "ion spark"
		"inaccuracy" 1
		"velocity" 9
		"lifetime" 550
		"reload" 150
		"firing energy" 1300
		"firing heat" 48
		"acceleration" .1
		"drag" .01
		"optical tracking" .8
		"turn" 5
		"homing" 3
		"shield damage" 6220
		"hull damage" 1500
		"hit force" 34
		"missile strength" 65
		"ion damage" 4
	description ""
	
outfit "P50-B Lemtar Turret"
	category "Turrets"
	cost 5200000
	thumbnail "outfit/lemtar turret"
	"mass" 50
	"outfit space" -50
	"weapon capacity" -50
	"turret mounts" -1
	"required crew" 1
	weapon
		sprite "projectile/ion bolt"
			"frame rate" 3
		sound "gw energy2"
		"hardpoint sprite" "hardpoint/heavy anti-missile"
		"hardpoint offset" 5.
		"hit effect" "plasma explosion"
		"inaccuracy" 3
		"turret turn" 2
		"velocity" 40
		"lifetime" 30
		"reload" 12
		"firing energy" 60
		"firing heat" 8
		"shield damage" 380
		"hull damage" 140
		"ion damage" .5
	description ""
	
outfit "P50-B Marley Turret"
	category "Turrets"
	cost 8400000
	thumbnail "outfit/lemtar turret"
	"mass" 120
	"outfit space" -120
	"weapon capacity" -120
	"turret mounts" -1
	"required crew" 2
	weapon
		sprite "projectile/marley"
		sound "gw energy2"
		"hit effect" "ion impact"
		"hardpoint sprite" "hardpoint/heavy anti-missile"
		"hardpoint offset" 5.
		"inaccuracy" 1.28
		"turret turn" 1.4
		"velocity" 20
		"lifetime" 30
		"reload" 22
		"firing energy" 180
		"firing heat" 80
		"shield damage" 900
		"hull damage" 300
		"piercing" .3
		"hit force" 10
	description ""
	
outfit "S20-F Markla Turret"
	category "Turrets"
	cost 4900000
	thumbnail "outfit/lemtar turret"
	"mass" 45
	"outfit space" -45
	"weapon capacity" -45
	"turret mounts" -1
	"required crew" 1
	weapon
		sprite "projectile/tiny dual ion"
		sound "gw energy3"
		"hit effect" "plasma explosion"
		"inaccuracy" 2
		"turret turn" 3
		"velocity" 30
		"lifetime" 23
		"reload" 6
		"firing energy" 45
		"firing heat" 12
		"shield damage" 20
		"hull damage" 6
		"ion damage" .6
		"submunition" "markla flak" 3
		"split range" 8
	description ""
	
outfit "markla flak"
	weapon
		sprite "effect/huge spark"
			"no repeat"
			"frame rate" 16
		sound "ion impact"
		"blast radius" 12
		"safe"
		"lifetime" 9
		"random angle" 360
		"random spin" 3
		"random velocity" .1
		"velocity scale" -.05
		"hit force" 5
		"shield damage" 22
		"hull damage" 12
		"ion damage" .2
		
effect "markla flak"
	sprite "effect/huge spark"
		"no repeat"
		"frame rate" 20
	"lifetime" 21
	"random angle" 360
	"random velocity" .1
	"random spin" 4
	"velocity scale" -.05
